,Species,Superordinal_Group,Group,Order,Family,Genus,Media,Body_Mass,Humerus_Length,Humerus_Prox_Width,Humerus_MidS_Width,Humerus_Distal_Width,Humerus_Height,Radius_Length,Radius_Prox_Width,Radius_MidS_Width,Radius_Distal_Width,Radius_Height,Metacarpus_Length,Metacarpus_Prox_Width,Metacarpus_MidS_Width,Metacarpus_Distal_Width,Metacarpus_Height,Phalanx_Length,Phalanx_Prox_Width,Phalanx_MidS_Width,Phalanx_Distal_Width,Phalanx_Height,Digit_Length,major_clade
Rousettus_aegyptiacus,Rousettus_aegyptiacus,Laurasiatheria,Chiroptera,Chiroptera,Pteropodidae,Rousettus,air,134,51.949,7.24,3.353,8.729,3.067,85.23,5.551,2.559,7.38,2.388,61.743,2.471,1.412,2.81,1.486,39.547,2.07,1.124,1.844,1.227,94.356,Chiroptera
Ptenochirus_jagori,Ptenochirus_jagori,Laurasiatheria,Chiroptera,Chiroptera,Pteropodidae,Ptenochirus,air,79.18,51.154,6.585,2.93,7.994,2.923,82.829,5.046,2.5,7.262,2.278,58.482,2.17,1.295,2.897,1.405,37.434,2.367,1.09,1.751,1.307,92.303,Chiroptera
Megaerops_ecaudatus,Megaerops_ecaudatus,Laurasiatheria,Chiroptera,Chiroptera,Pteropodidae,Megaerops,air,26.29,32.056,4.829,2.074,5.459,2.017,51.291,3.47,1.531,4.544,1.418,37.411,1.643,0.913,1.953,0.899,25.128,1.667,0.659,1.213,0.702,57.603,Chiroptera
Cynopterus_brachyotis,Cynopterus_brachyotis,Laurasiatheria,Chiroptera,Chiroptera,Pteropodidae,Cynopterus,air,33.87,36.424,4.309,1.961,5.766,1.988,62.941,3.229,1.784,5.078,1.574,44.851,1.605,1.051,2.067,1.012,27.83,1.677,0.712,1.508,0.876,65.036,Chiroptera
Haplonycteris_fischeri,Haplonycteris_fischeri,Laurasiatheria,Chiroptera,Chiroptera,Pteropodidae,Haplonycteris,air,18.25,32.028,4.159,1.78,5.144,1.779,50.832,3.203,1.62,4.725,1.378,36.879,1.404,0.722,1.745,0.89,25.924,1.637,0.59,1.042,0.708,56.346,Chiroptera
Penthetor_lucasi,Penthetor_lucasi,Laurasiatheria,Chiroptera,Chiroptera,Pteropodidae,Penthetor,air,35.39,34.852,4.675,2.077,5.893,1.91,54.553,3.512,1.518,4.713,1.503,39.237,1.542,0.807,1.95,0.868,23.749,1.465,0.655,1.204,0.776,52.469,Chiroptera
Chironax_melanocephalus,Chironax_melanocephalus,Laurasiatheria,Chiroptera,Chiroptera,Pteropodidae,Chironax,air,17.7,27.693,3.644,1.564,4.822,1.533,41.966,2.794,1.235,4.377,1.136,30.549,1.285,0.681,1.576,0.719,22.658,1.103,0.578,0.998,0.648,49.419,Chiroptera
Balionycteris_maculata,Balionycteris_maculata,Laurasiatheria,Chiroptera,Chiroptera,Pteropodidae,Balionycteris,air,14.43,27.725,3.493,1.39,4.144,1.444,40.358,2.721,1.287,3.828,1.063,30.028,1.306,0.652,1.483,0.721,20.339,1.013,0.567,0.817,0.579,44.552,Chiroptera
Aethalops_alecto,Aethalops_alecto,Laurasiatheria,Chiroptera,Chiroptera,Pteropodidae,Aethalops,air,15,25.442,3.836,1.514,4.777,1.497,41.861,2.904,1.171,4.124,1.152,30.982,1.271,0.623,1.543,0.784,21.284,1.348,0.582,0.735,0.596,47.234,Chiroptera
Sphaerias_blanfordi,Sphaerias_blanfordi,Laurasiatheria,Chiroptera,Chiroptera,Pteropodidae,Sphaerias,air,28.88,30.434,4.738,2.072,5.585,1.904,47.635,3.625,1.622,4.456,1.562,36.534,1.502,0.953,1.887,0.922,24.574,1.373,0.787,1.153,0.832,52.19,Chiroptera
Galeopterus_variegatus,Galeopterus_variegatus,Euarchontoglires,Dermoptera,Dermoptera,Cynocephalidae,Galeopterus,semi-aerial,1112.2,106.19,12.64,6.075,13.74,5.78,145.445,9.095,4.135,8.95,3.42,27.97,1.635,1.545,3.435,1.495,16.09,2.74,2.06,2.25,2.235,46.395,others
Cynocephalus_volans,Cynocephalus_volans,Euarchontoglires,Dermoptera,Dermoptera,Cynocephalidae,Cynocephalus,semi-aerial,1250,94.865,11.205,5.465,13.83,4.925,117.095,10.12,4.31,8.71,4.03,26.355,3.33,1.67,2.05,1.67,15.125,3.01,1.855,1.825,2.29,51.495,others
Ptilocercus_lowii,Ptilocercus_lowii,Euarchontoglires,Scandentia,Scandentia,Ptilocercidae,Ptilocercus,terrestrial,42.5,22.068,3.872,2.041,5.12,2.142,23.507,1.933,1.503,2.531,1.16,6.072,0.962,0.631,1.106,0.716,4.691,1.254,0.624,0.897,0.658,9.994,others
Tupaia_sp,Tupaia_sp,Euarchontoglires,Scandentia,Scandentia,Tupaiidae,Tupaia,terrestrial,156.27,28.317,4.329,2.319,5.533,2.146,25.183,2.504,1.503,2.742,1.431,8.461,1.078,0.826,1.299,0.846,4.487,1.521,0.808,0.991,0.798,10.648,others
Tupaia_dorsalis,Tupaia_dorsalis,Euarchontoglires,Scandentia,Scandentia,Tupaiidae,Tupaia,terrestrial,168.05,28.514,4.756,2.317,5.851,2.502,29.188,2.928,1.525,2.824,1.308,9.439,1.205,0.841,1.408,0.864,5.073,1.521,0.79,0.939,0.799,11.545,others
Nycticebus_pygmaeus,Nycticebus_pygmaeus,Euarchontoglires,Primates,Primates,Lorisidae,Nycticebus,terrestrial,342.32,50.503,7.738,3.995,10.939,4.569,55.541,4.214,2.549,5.754,2.841,9.623,2.149,1.486,2.125,1.659,10.894,2.244,1.543,1.934,1.454,20.53,others
Nycticebus_coucang,Nycticebus_coucang,Euarchontoglires,Primates,Primates,Lorisidae,Nycticebus,terrestrial,924.55,71.969,11.711,6.595,16.645,6.677,74.467,6.138,3.845,8.247,4.596,13.432,3.007,2.165,2.887,2.27,15.06,3.304,2.499,2.376,2.223,27.61,others
Loris_tardigradus,Loris_tardigradus,Euarchontoglires,Primates,Primates,Lorisidae,Loris,terrestrial,249.22,53.22,6.79,2.92,7.445,2.734,61.45,2.549,1.843,4.031,1.9,8.168,1.763,1.018,1.624,1.08,8.397,2.135,1.119,1.51,1.095,15.147,others
Galagoides_demidovii,Galagoides_demidovii,Euarchontoglires,Primates,Primates,Galagidae,Galagoides,terrestrial,66.04,27.566,4.555,2.108,6.264,2.256,30.709,2.355,1.564,3.212,1.546,6.31,1.24,0.772,1.18,0.929,6.68,1.419,0.79,0.936,0.856,12.883,others
Galago_senegalensis,Galago_senegalensis,Euarchontoglires,Primates,Primates,Galagidae,Galago,terrestrial,215.2,30.79,5.362,2.632,7.991,2.963,32.853,2.734,2.179,3.919,1.701,8.268,1.61,0.997,1.464,1.103,7.913,1.672,1.069,1.313,0.995,15.575,others
Sciurocheirus_alleni,Sciurocheirus_alleni,Euarchontoglires,Primates,Primates,Galagidae,Sciurocheirus,terrestrial,266.03,21.73,3.112,1.745,5.288,1.928,25.913,1.764,1.361,2.329,1.298,5.194,1.059,0.681,1.079,0.772,5.939,1.116,0.675,0.888,0.712,11.463,others
Otolemur_garnettii,Otolemur_garnettii,Euarchontoglires,Primates,Primates,Galagidae,Otolemur,terrestrial,811.17,56.154,8.945,4.893,15.518,4.512,62.019,4.658,3.826,6.744,3.048,14.188,2.937,1.643,2.78,2.035,13.382,3.238,1.935,2.461,1.911,25.276,others
Euoticus_elegantulus,Euoticus_elegantulus,Euarchontoglires,Primates,Primates,Galagidae,Euoticus,terrestrial,295.48,40.611,6.553,2.951,10.476,3.602,43.461,3.599,2.1,5.662,2.467,11.067,2.125,1.372,2.079,1.598,11.852,2.684,1.133,1.873,1.456,22.081,others
Perodicticus_potto,Perodicticus_potto,Euarchontoglires,Primates,Primates,Lorisidae,Perodicticus,terrestrial,1081.81,60.5,10.166,5.475,18.03,6.942,60.257,6.403,3.951,9.206,3.55,12.37,3.462,1.808,3.062,2.753,13.877,3.524,2.483,2.779,2.093,26.036,others
Arctocebus_calabarensis,Arctocebus_calabarensis,Euarchontoglires,Primates,Primates,Lorisidae,Arctocebus,terrestrial,258.01,52.811,6.595,3.036,9.219,3.51,52.796,3.862,2.158,5.436,2.48,7.895,1.553,0.99,1.625,1.471,9.559,2.028,1.17,1.583,1.275,18.263,others
Arctocebus_aureus,Arctocebus_aureus,Euarchontoglires,Primates,Primates,Lorisidae,Arctocebus,terrestrial,234.16,51.779,6.661,3.487,9.602,3.749,53.561,3.83,2.244,5.631,2.354,8.025,1.91,1.089,1.319,1.327,6.729,1.697,1.085,1.069,1.121,13.119,others
Daubentonia_madagascariensis,Daubentonia_madagascariensis,Euarchontoglires,Primates,Primates,Daubentoniidae,Daubentonia,terrestrial,2731.37,90.744,15.882,8.283,25.462,7.133,90.909,7.783,5.467,11.644,5.167,36.655,4.188,2.216,2.464,2.497,44.258,2.812,1.839,1.68,2.057,69.137,others
Indri_indri,Indri_indri,Euarchontoglires,Primates,Primates,Indriidae,Indri,terrestrial,8565.48,116.805,18.845,8.815,28.175,7.825,147.815,12.27,5.28,14.175,5.755,48.04,4.28,3.425,5.415,2.985,41.63,4.69,3.395,5.39,3.39,76.865,others
Propithecus_verreauxi,Propithecus_verreauxi,Euarchontoglires,Primates,Primates,Indriidae,Propithecus,terrestrial,3588.26,92.185,12.36,6.69,20.065,6.435,97.075,8.25,5.005,10.975,3.95,27.73,3.2,3.27,4.925,2.945,27.9,5.24,3.305,4.76,2.555,53.22,others
Avahi_laniger,Avahi_laniger,Euarchontoglires,Primates,Primates,Indriidae,Avahi,terrestrial,1092.28,60.682,10.483,5.577,14.896,5.217,72.885,6.724,3.88,7.54,3.318,21.034,2.519,1.714,2.781,2.028,16.396,3.112,2.23,2.691,1.928,31.904,others
Varecia_variegata,Varecia_variegata,Euarchontoglires,Primates,Primates,Lemuridae,Varecia,terrestrial,3849.99,101.804,17.421,8.474,24.046,9.576,101.038,8.737,5.415,13.482,7.219,27.283,4.932,3.503,4.864,3.604,24.504,5.643,4.367,4.608,3.266,47.805,others
Lemur_catta,Lemur_catta,Euarchontoglires,Primates,Primates,Lemuridae,Lemur,terrestrial,2626.48,79.768,9.997,6.036,16.158,6.809,84.896,5.858,3.791,7.143,3.599,20.29,3.126,2.035,2.909,2.561,15.709,3.599,2.553,2.922,2.067,30.315,others
Hapalemur_griseus,Hapalemur_griseus,Euarchontoglires,Primates,Primates,Lemuridae,Hapalemur,terrestrial,916,54.848,9.785,4.963,12.348,4.844,62.334,4.283,3.143,7.13,2.643,15.617,2.145,1.52,2.543,1.795,13.709,2.922,1.694,2.16,1.65,25.968,others
Eulemur_coronatus,Eulemur_coronatus,Euarchontoglires,Primates,Primates,Lemuridae,Eulemur,terrestrial,1699.85,77.823,11.558,6.385,16.345,6.335,81.356,6.385,4.719,8.403,4.398,20.159,2.961,2.271,3.301,2.306,16.271,3.267,2.678,3.039,2.378,31.334,others
Lepilemur_mustelinus,Lepilemur_mustelinus,Euarchontoglires,Primates,Primates,Lepilemuridae,Lepilemur,terrestrial,669.03,46.491,7.567,4.038,11.896,4.694,49.878,4.331,3.136,5.793,2.741,13.14,2.227,1.692,2.162,1.754,12.742,2.52,1.857,1.948,1.329,25.186,others
Cheirogaleus_medius,Cheirogaleus_medius,Euarchontoglires,Primates,Primates,Cheirogaleidae,Cheirogaleus,terrestrial,196.76,25.951,5.538,2.627,8.413,2.832,25.795,3.075,1.88,3.919,2.017,7.38,1.458,0.952,1.612,1.216,6.641,1.774,1.253,1.535,0.873,13.165,others
Mirza_zaza,Mirza_zaza,Euarchontoglires,Primates,Primates,Cheirogaleidae,Mirza,terrestrial,280.9,37.758,6.651,3.389,10.095,3.191,40.303,3.457,2.086,4.934,2.415,9.54,1.708,1.176,1.936,1.324,9.157,2.287,1.518,1.778,1.069,17.81,others
Microcebus_murinus,Microcebus_murinus,Euarchontoglires,Primates,Primates,Cheirogaleidae,Microcebus,terrestrial,69,23.735,4.286,1.982,5.697,1.879,26.543,1.934,1.247,2.904,1.379,5.481,0.892,0.679,0.961,0.836,5.134,1.104,0.698,0.761,0.696,10.071,others
Tarsius_sp,Tarsius_sp,Euarchontoglires,Primates,Primates,Tarsiidae,Tarsius,terrestrial,139.79,29.938,5.478,2.501,8.23,2.576,38.21,2.672,1.879,3.802,1.761,11.834,1.609,1.214,1.784,1.396,14.732,2.186,1.081,1.419,1.246,28.093,others
Carlito_syrichta,Carlito_syrichta,Euarchontoglires,Primates,Primates,Tarsiidae,Carlito,terrestrial,115.91,30.962,5.543,2.3,8.687,2.325,36.894,3.093,1.652,3.529,1.702,10.649,1.697,1.15,1.761,1.389,12.381,2.308,1.081,1.444,1.187,24.526,others
Cheracebus_torquatus,Cheracebus_torquatus,Euarchontoglires,Primates,Primates,Pitheciidae,Cheracebus,terrestrial,1209.57,168.52,25.78,12.48,30.735,12.345,168.48,14.705,11.15,19.785,8.845,39.555,6.66,4.755,7.645,4.015,29.485,8.595,4.65,5.93,3.225,NA,others
Pithecia_pithecia,Pithecia_pithecia,Euarchontoglires,Primates,Primates,Pitheciidae,Pithecia,terrestrial,1667.19,99.376,10.315,7.548,16.734,7.148,91.595,6.737,4.758,8.293,4.092,20.041,3.931,2.58,4.749,2.481,19.097,4.528,3.047,3.449,2.353,40.55,others
Chiropotes_sp,Chiropotes_sp,Euarchontoglires,Primates,Primates,Pitheciidae,Chiropotes,terrestrial,2967.27,111.809,14.393,7.797,21.271,7.439,96.45,9.184,5.337,11.779,5.635,22.582,4.332,3.211,4.157,3.744,20.144,4.723,3.455,3.428,2.629,40.148,others
Cacajao_calvus,Cacajao_calvus,Euarchontoglires,Primates,Primates,Pitheciidae,Cacajao,terrestrial,3421.04,100.535,12.745,6.165,18.05,6.64,85.42,7.93,4.805,10.4,3.64,21.33,4.69,3.125,4.605,2.525,20.06,4.815,3.285,3.63,3.53,41.245,others
Saguinus_sp,Saguinus_sp,Euarchontoglires,Primates,Primates,Cebidae,Saguinus,terrestrial,493.42,53.341,7.586,4.04,11.224,4.03,46.431,4.233,2.369,5.118,2.63,14.12,2.01,1.429,2.112,1.431,10.681,2.403,1.413,1.783,1.321,23.48,others
Callithrix_sp,Callithrix_sp,Euarchontoglires,Primates,Primates,Cebidae,Callithrix,terrestrial,345.22,31.769,5.371,2.491,7.002,2.671,29.5,2.572,2.244,3.473,1.394,8.244,1.242,0.855,1.462,0.887,6.428,1.733,0.958,1.116,0.941,15.693,others
Callithrix_jacchus,Callithrix_jacchus,Euarchontoglires,Primates,Primates,Cebidae,Callithrix,terrestrial,290.21,42.825,6.32,2.885,8.995,3.035,37.98,4.325,2.12,4.47,1.79,11.68,1.425,1.29,2.345,1.19,10.14,2.335,1.41,2,1.695,19.64,others
Callimico_goeldii,Callimico_goeldii,Euarchontoglires,Primates,Primates,Cebidae,Callimico,terrestrial,558,54.009,7.844,3.911,10.694,4.243,48.708,4.302,2.499,5.068,2.481,14.698,2.212,1.407,2.205,1.512,11.612,2.531,1.539,1.817,1.509,25.885,others
Leontopithecus_rosalia,Leontopithecus_rosalia,Euarchontoglires,Primates,Primates,Cebidae,Leontopithecus,terrestrial,592.52,61.749,8.443,4.358,9.611,4.496,63.095,4.478,2.957,5.341,2.553,22.361,2.093,1.54,2.469,1.696,14.97,2.466,1.536,1.671,1.872,32.348,others
Saimiri_sciureus,Saimiri_sciureus,Euarchontoglires,Primates,Primates,Cebidae,Saimiri,terrestrial,749.47,75.595,9.34,4.634,13.404,4.859,67.205,5.862,3.04,7.431,3.247,15.025,3.033,2.328,3.995,2.319,12.709,3.807,2.253,2.646,1.783,27.168,others
Sapajus_apella,Sapajus_apella,Euarchontoglires,Primates,Primates,Cebidae,Sapajus,terrestrial,2758.38,106.87,14.62,6.405,19.605,6.68,97.82,8.775,4.985,11.4,3.885,22.795,3.715,2.58,4.195,2.32,19.83,4.625,2.825,3.33,2.205,42.64,others
Cebus_albifrons,Cebus_albifrons,Euarchontoglires,Primates,Primates,Cebidae,Cebus,terrestrial,2509.68,109.13,16.095,8.395,22.035,8.735,98.835,8.635,6.36,11.485,4.4,23.025,3.345,2.78,4.81,2.68,20.29,5.105,3.385,3.52,2.39,44.12,others
Aotus_trivirgatus,Aotus_trivirgatus,Euarchontoglires,Primates,Primates,Cebidae,Aotus,terrestrial,912.4,75.1,10.23,5.445,14.115,4.555,66.165,6.04,3.85,7.875,2.975,17.83,2.75,1.995,3.74,1.845,17.645,3.945,1.87,3.095,1.665,33.515,others
Ateles_fusciceps,Ateles_fusciceps,Euarchontoglires,Primates,Primates,Atelidae,Ateles,terrestrial,9067.94,206.266,19.061,11.398,26.698,11.843,214.487,11.791,8.127,16.861,8.897,57.628,6.243,3.966,6.882,5.12,43.098,7.742,5.703,6.542,4.871,91.541,others
Ateles_belzebuth,Ateles_belzebuth,Euarchontoglires,Primates,Primates,Atelidae,Ateles,terrestrial,6692.42,197.399,16.266,11.098,30.667,10.482,185.439,11.093,6.755,12.921,7.483,46.721,7.013,4.502,6.244,4.546,35.441,7.603,5.905,6.386,4.629,73.302,others
Lagothrix_sp,Lagothrix_sp,Euarchontoglires,Primates,Primates,Atelidae,Lagothrix,terrestrial,6263.69,162.049,17.052,9.006,24.665,9.728,132.194,10.518,6.502,13.811,6.977,31.991,5.362,3.874,5.249,4.41,29.287,5.742,5.619,5.068,3.474,60.607,others
Alouatta_seniculus,Alouatta_seniculus,Euarchontoglires,Primates,Primates,Atelidae,Alouatta,terrestrial,6398.31,160.47,15.631,9.013,24.053,9.84,130.572,8.032,6.66,12.535,6.025,29.529,6.147,4.017,5.143,4.517,33.117,5.748,4.181,4.748,3.727,71.458,others
Symphalangus_syndactylus,Symphalangus_syndactylus,Euarchontoglires,Primates,Primates,Hylobatidae,Symphalangus,terrestrial,10839,229.327,14.88,9.444,26.345,11.275,254.164,11.734,6.214,15.108,7.409,58.912,5.22,4.016,6.148,4.597,43.293,6.623,6.672,5.884,4.182,85.742,others
Hylobates_sp,Hylobates_sp,Euarchontoglires,Primates,Primates,Hylobatidae,Hylobates,terrestrial,5757.16,187.855,14.39,8.09,24.1,7.52,203.41,9.08,4.965,13.53,5.25,42.825,3.95,2.98,5.275,3.455,35.05,6.04,5.045,5.875,3.36,72.715,others
Nomascus_concolor,Nomascus_concolor,Euarchontoglires,Primates,Primates,Hylobatidae,Nomascus,terrestrial,6410.47,227.24,20.57,9.355,32.485,10.95,255.905,14.455,6.665,18.955,5.9,54.14,5.42,4.455,8.22,4.37,43.92,7.95,6.385,6.82,4.595,88.49,others
Hoolock_leuconedys,Hoolock_leuconedys,Euarchontoglires,Primates,Primates,Hylobatidae,Hoolock,terrestrial,6699,229.886,19.846,9.967,26.505,10.369,259.832,13.013,6.556,15.66,7.011,53.343,4.963,3.916,6.041,4.224,41.821,6.355,6.42,8.031,4.426,87.863,others
Pongo_pygmaeus,Pongo_pygmaeus,Euarchontoglires,Primates,Primates,Hominidae,Pongo,terrestrial,53408.29,466.265,51.72,28.895,81.27,33.785,381.51,28.175,23.83,50.995,18.55,106.305,13.315,8.74,19.33,15.16,86.875,19.49,16.625,17.835,11.865,157.745,others
Pan_paniscus,Pan_paniscus,Euarchontoglires,Primates,Primates,Hominidae,Pan,terrestrial,35119.95,267.991,35.385,20.251,61.058,23.419,248.488,19.622,14.539,33.399,12.99,86.313,11.459,9.218,14.173,11.438,59.734,15.498,12.74,12.239,8.753,127.165,others
Homo_sapiens,Homo_sapiens,Euarchontoglires,Primates,Primates,Hominidae,Homo,terrestrial,58540.63,342.56,45.425,20.48,58.935,23.895,248.22,20.5,15.155,33.96,11.245,62.865,12.55,7.04,15.265,9.34,42.52,14.985,9.535,11.175,7.255,90.695,others
Gorilla_gorilla,Gorilla_gorilla,Euarchontoglires,Primates,Primates,Hominidae,Gorilla,terrestrial,112588.99,368.426,58.707,36.607,86.982,39.035,300.445,29.666,20.972,45.022,22.872,86.544,14.571,12.351,21.401,16.386,56.817,21.104,19.574,15.727,10.824,121.385,others
Trachypithecus_phayrei,Trachypithecus_phayrei,Euarchontoglires,Primates,Primates,Cercopithecidae,Trachypithecus,terrestrial,7681.72,150.435,18.9,9.915,27.67,10.175,143.945,13.445,6.995,15.87,6.54,36.39,5.14,4.05,5.435,3.68,31.245,6.3,4.445,5.49,3.675,61.235,others
Semnopithecus_entellus,Semnopithecus_entellus,Euarchontoglires,Primates,Primates,Cercopithecidae,Semnopithecus,terrestrial,12679.29,123.855,17.21,8.025,23.16,9.72,136.015,12.24,6.59,13.1,5.43,38.445,5.79,4.075,6.065,3.8,26.05,6.665,4.47,5.55,3.805,49.92,others
Presbytis_sp,Presbytis_sp,Euarchontoglires,Primates,Primates,Cercopithecidae,Presbytis,terrestrial,6419.29,106.449,12.039,6.937,19.134,6.998,114.007,8.752,5.166,11.992,5.023,33.613,4.3,3.347,4.388,3.377,25.907,5.515,3.922,4.402,2.796,52.9,others
Nasalis_larvatus,Nasalis_larvatus,Euarchontoglires,Primates,Primates,Cercopithecidae,Nasalis,terrestrial,12265.65,185.235,23.8,11.955,29.65,11.05,183.49,16.77,7.91,17.31,7.13,44.045,5.525,4.48,6.98,4.18,38.515,8.62,5.085,6.74,3.74,77.93,others
Piliocolobus_badius,Piliocolobus_badius,Euarchontoglires,Primates,Primates,Cercopithecidae,Piliocolobus,terrestrial,8430.4,140.87,17.57,10.135,25.17,9.81,139.61,11.62,6.685,13.365,5.855,36.72,4.995,3.825,5.835,3.665,27.14,6.41,4.83,5.52,3.34,56.925,others
Procolobus_verus,Procolobus_verus,Euarchontoglires,Primates,Primates,Cercopithecidae,Procolobus,terrestrial,3977.86,156.845,19.495,10.665,26.85,10.535,151.64,13.01,6.535,14.37,6.01,40.745,5.165,3.945,5.52,3.73,32.15,6.98,5.34,5.45,3.495,65.765,others
Colobus_polykomos,Colobus_polykomos,Euarchontoglires,Primates,Primates,Cercopithecidae,Colobus,terrestrial,8797.29,156.525,19.04,10.7,28.665,11.13,147.925,13.365,7.27,15.495,6.69,40.79,6.535,4.305,6.67,4.435,32.935,7.765,4.585,6.29,3.835,69.015,others
Macaca_mulatta,Macaca_mulatta,Euarchontoglires,Primates,Primates,Cercopithecidae,Macaca,terrestrial,6455.19,138.136,21.115,10.548,25.8,10.662,136.164,12.03,7.827,16.163,8.138,34.901,6.085,4.453,6.23,4.592,25.523,7.314,5.451,5.433,3.83,52.802,others
Cercocebus_atys,Cercocebus_atys,Euarchontoglires,Primates,Primates,Cercopithecidae,Cercocebus,terrestrial,6941.24,130.12,17.1,8.285,25.095,8.42,126.425,10.715,7.07,13.695,5.465,32.41,5.455,3.905,5.71,3.545,26.105,6.615,4.59,5.21,3.785,51.495,others
Mandrillus_leucophaeus,Mandrillus_leucophaeus,Euarchontoglires,Primates,Primates,Cercopithecidae,Mandrillus,terrestrial,14253.3,165.26,22.075,10.86,29.105,11.255,173.555,14.42,8.38,16.745,7.25,33.62,4.71,4.08,6.94,3.945,19.89,6.74,4.655,5.345,3.89,40.665,others
Lophocebus_aterrimus,Lophocebus_aterrimus,Euarchontoglires,Primates,Primates,Cercopithecidae,Lophocebus,terrestrial,6510.37,143.93,18.89,8.785,26.955,9.135,145.185,9.455,7.305,21.745,5.415,34.205,5.205,4.13,6.68,3.48,27.31,7.475,5.16,5.74,3.97,52.49,others
Papio_sp,Papio_sp,Euarchontoglires,Primates,Primates,Cercopithecidae,Papio,terrestrial,16662.66,197.601,28.062,14.157,36.217,14.899,196.852,14.385,12.145,21.995,8.926,40.223,8.988,5.951,8.827,5.856,21.444,9.487,6.531,5.807,4.515,46.396,others
Erythrocebus_patas,Erythrocebus_patas,Euarchontoglires,Primates,Primates,Cercopithecidae,Erythrocebus,terrestrial,7966.3,122.85,20.1,10.285,21.21,8.305,135.885,10.58,8.175,14.95,5.835,29.15,5.355,3.405,5.95,3.085,16.975,5.495,3.49,4.145,2.77,32.895,others
Chlorocebus_pygerythrus,Chlorocebus_pygerythrus,Euarchontoglires,Primates,Primates,Cercopithecidae,Chlorocebus,terrestrial,3695.99,87.915,14.97,8.705,19.17,7.135,101.45,8.415,6.5,11.355,5.5,22.445,3.635,3.23,4.5,2.85,16.965,5.06,3.435,4.07,3.025,34.87,others
Cercopithecus_albogularis,Cercopithecus_albogularis,Euarchontoglires,Primates,Primates,Cercopithecidae,Cercopithecus,terrestrial,5033.33,107.895,14.68,7.955,16.795,7.185,102.74,8.035,6.71,11.28,4.065,21.28,3.29,2.725,4.665,2.455,18.69,5.085,3.225,5.665,3.085,38.595,others
Miopithecus_talapoin,Miopithecus_talapoin,Euarchontoglires,Primates,Primates,Cercopithecidae,Miopithecus,terrestrial,1248.86,84.635,11.995,6.015,14.38,5.385,87.36,7.32,4.815,8.5,3.84,19.85,2.87,2.5,3.665,2.03,16.325,4.49,2.565,3.44,1.765,35.24,others
Glis_glis,Glis_glis,Euarchontoglires,Rodentia,Rodentia,Gliridae,Glis,terrestrial,128.09,25.263,4.624,2.53,7.087,3.477,24.06,2.904,2.054,2.561,1.552,6.27,1.019,0.828,1.28,0.997,4.954,1.591,0.828,0.89,0.753,10.498,others
Muscardinus_avellanarius,Muscardinus_avellanarius,Euarchontoglires,Rodentia,Rodentia,Gliridae,Muscardinus,terrestrial,29.19,12.062,2.786,1.18,3.889,1.366,14.276,1.528,0.967,1.382,0.731,3.484,0.473,0.478,0.545,0.525,3.002,0.743,0.415,0.419,0.419,6.025,others
Dryomys_nitedula,Dryomys_nitedula,Euarchontoglires,Rodentia,Rodentia,Gliridae,Dryomys,terrestrial,29.5,14.511,3.074,1.467,4.09,1.724,15.58,1.746,1.004,1.605,0.831,3.934,0.553,0.49,0.848,0.471,2.944,0.877,0.429,0.558,0.461,6.357,others
Eliomys_sp,Eliomys_sp,Euarchontoglires,Rodentia,Rodentia,Gliridae,Eliomys,terrestrial,107.49,19.379,3.762,1.842,5.275,2.349,18.947,1.937,1.461,1.85,1.115,4.849,0.82,0.623,0.948,0.564,3.211,1.033,0.504,0.678,0.542,7.094,others
Graphiurus_murinus,Graphiurus_murinus,Euarchontoglires,Rodentia,Rodentia,Gliridae,Graphiurus,terrestrial,20.07,12.552,2.657,1.381,3.816,1.7,13.348,1.436,0.957,1.335,0.857,3.649,0.508,0.515,0.655,0.475,2.672,0.757,0.42,0.48,0.461,5.677,others
Aplodontia_rufa,Aplodontia_rufa,Euarchontoglires,Rodentia,Rodentia,Aplodontiidae,Aplodontia,terrestrial,806.21,NA,10.45,4.97,15.313,8.537,39.078,6.027,3.348,6.049,3.507,11.683,3.015,1.969,3.035,1.996,6.564,3.63,1.939,2.066,1.955,21.816,others
Ratufa_indica,Ratufa_indica,Euarchontoglires,Rodentia,Rodentia,Sciuridae,Ratufa,terrestrial,1060,64.525,11.285,5.055,16.415,6.515,52.71,6.485,3.56,7.285,2.605,14.965,2.405,1.85,3.64,1.545,13.41,3.3,1.72,3.05,1.695,32.995,others
Funambulus_pennantii,Funambulus_pennantii,Euarchontoglires,Rodentia,Rodentia,Sciuridae,Funambulus,terrestrial,102.49,23.643,3.882,1.853,5.698,2.311,21.669,2.309,1.301,2.507,1.241,6.699,0.881,0.677,1.152,0.672,5.113,1.258,0.653,0.665,0.634,11.37,others
Lariscus_insignis,Lariscus_insignis,Euarchontoglires,Rodentia,Rodentia,Sciuridae,Lariscus,terrestrial,174.41,33.263,5.807,2.838,8.041,3.542,29.49,3.63,2.179,3.416,1.504,9.838,1.269,1.044,1.638,0.938,7.122,1.909,0.97,1.082,0.937,16.006,others
Tamiops_maritimus,Tamiops_maritimus,Euarchontoglires,Rodentia,Rodentia,Sciuridae,Tamiops,terrestrial,66.77,21.529,3.821,1.943,5.328,2.415,21.928,2.177,1.487,2.294,1.122,6.082,0.838,0.662,1.017,0.718,5.301,1.204,0.634,0.757,0.764,12.565,others
